Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
Estonia,7/1/2010,1340161,1652809,5,74,14045,1.233291,9.550022,1.609438,Europe
Slovak Republic,7/1/2010,5430099,5925012,8,80,16036,1.091143,9.682591,2.079442,Europe
Czech Republic,7/1/2010,10519792,14392964,4,69,18789,1.368180,9.841027,1.386294,Europe
Malta,7/1/2010,415995,455414,6,63,19625,1.094758,9.884560,1.791759,Europe
Portugal,7/1/2010,10637346,15194897,4,51,21358,1.428448,9.969182,1.386294,Europe
Israel,7/1/2010,7623600,9875000,5,65,28522,1.295320,10.258431,1.609438,Middle East
United Arab Emirates,7/1/2010,7511690,10926019,7,78,39625,1.454535,10.587216,1.945910,Middle East
Kuwait,7/1/2010,2736732,4400000,11,38,45437,1.607757,10.724082,2.397895,Middle East
Qatar,7/1/2010,1758793,2329255,8,82,72398,1.324349,11.189934,2.079442,Middle East
"Yemen, Rep.",7/1/2010,24052514,11085000,77,12,1291,0.460867,7.163172,4.343805,Middle East
Iraq,7/1/2010,32030823,24000000,39,2,2532,0.749278,7.836765,3.663562,Middle East
Syrian Arab Republic,7/1/2010,20446609,11799212,16,21,2893,0.577074,7.970049,2.772589,Middle East
Jordan,7/1/2010,6047000,6620000,22,39,4370,1.094758,8.382518,3.091042,Middle East
Lebanon,7/1/2010,4227597,2874766,22,31,9227,0.680000,9.129889,3.091042,Middle East
Saudi Arabia,7/1/2010,27448086,51564375,18,41,16423,1.878615,9.706438,2.890372,Middle East
Bahrain,7/1/2010,1261835,1567000,10,55,18184,1.241842,9.808297,2.302585,Middle East
Oman,7/1/2010,2782435,4606133,9,62,20791,1.655432,9.942275,2.197225,Middle East
New Zealand,7/1/2010,4367800,5020000,6,83,32620,1.149320,10.392681,1.791759,Oceania
Australia,7/1/2010,22299800,22500000,5,76,50746,1.008978,10.834588,1.609438,Oceania
Solomon Islands,7/1/2010,538148,30000,27,5,1261,0.055747,7.139660,3.295837,Oceania
Papua New Guinea,7/1/2010,6858266,1909078,61,1,1382,0.278362,7.231287,4.110874,Oceania
Kiribati,7/1/2010,99546,10000,49,9,1519,0.100456,7.325808,3.891820,Oceania
"Micronesia, Fed. Sts.",7/1/2010,111064,27518,42,20,2678,0.247767,7.892826,3.737670,Oceania
Vanuatu,7/1/2010,239651,285300,14,8,2875,1.190481,7.963808,2.639057,Oceania
Samoa,7/1/2010,183081,167400,20,7,3249,0.914349,8.086103,2.995732,Oceania
Tonga,7/1/2010,104058,54300,16,12,3435,0.521824,8.141772,2.772589,Oceania
Fiji,7/1/2010,860623,697920,17,15,3687,0.810947,8.212568,2.833213,Oceania
"Bahamas, The",7/1/2010,342877,428377,16,43,22665,1.249361,10.028577,2.772589,The Americas
Canada,7/1/2010,34126181,24037372,6,81,46212,0.704367,10.740995,1.791759,The Americas
United States,7/1/2010,309349689,278900000,8,74,46702,0.901569,10.751542,2.079442,The Americas
Haiti,7/1/2010,9993247,4000000,165,8,664,0.400270,6.498282,5.105945,The Americas
Nicaragua,7/1/2010,5788163,3770510,27,10,1139,0.651417,7.037906,3.295837,The Americas
Bolivia,7/1/2010,9929849,7179293,54,20,1979,0.723001,7.590347,3.988984,The Americas
Honduras,7/1/2010,7600524,9505071,24,11,2019,1.250581,7.610358,3.178054,The Americas
Paraguay,7/1/2010,6454548,5920858,25,20,2840,0.917316,7.951559,3.218876,The Americas
Guatemala,7/1/2010,14388929,18067970,32,11,2873,1.255686,7.963112,3.465736,The Americas
Guyana,7/1/2010,754493,555397,30,30,2994,0.736119,8.004366,3.401197,The Americas
El Salvador,7/1/2010,6192993,7700336,16,16,3460,1.243395,8.149024,2.772589,The Americas
Ecuador,7/1/2010,14464739,14780730,20,29,4008,1.021846,8.296048,2.995732,The Americas
Belize,7/1/2010,344700,194201,17,13,4064,0.563391,8.309923,2.833213,The Americas
Jamaica,7/1/2010,2702300,3181995,24,26,5133,1.177514,8.543446,3.178054,The Americas
Dominican Republic,7/1/2010,9927320,8892783,27,40,5195,0.895789,8.555452,3.295837,The Americas
Peru,7/1/2010,29076512,29115149,19,34,5292,1.001329,8.573952,2.944439,The Americas
Colombia,7/1/2010,46294841,44477653,22,37,6238,0.960748,8.738415,3.091042,The Americas
St. Lucia,7/1/2010,174000,199000,16,40,6890,1.143678,8.837826,2.772589,The Americas
Dominica,7/1/2010,67757,105567,12,47,6964,1.558024,8.848509,2.484907,The Americas
Grenada,7/1/2010,104487,121946,11,33,7500,1.167093,8.922658,2.397895,The Americas
Panama,7/1/2010,3516820,6496155,20,43,7614,1.847167,8.937744,2.995732,The Americas
Costa Rica,7/1/2010,4658887,3035007,10,37,7774,0.651445,8.958540,2.302585,The Americas
Suriname,7/1/2010,524636,890000,31,32,8292,1.696414,9.023046,3.433987,The Americas
Argentina,7/1/2010,40412376,57300000,14,36,9124,1.417882,9.118664,2.639057,The Americas
Mexico,7/1/2010,113423047,91362753,17,31,9133,0.805504,9.119650,2.833213,The Americas
Brazil,7/1/2010,194946470,202944033,19,41,10993,1.041024,9.305014,2.944439,The Americas
Uruguay,7/1/2010,3356584,4437158,11,48,11742,1.321927,9.370927,2.397895,The Americas
Chile,7/1/2010,17113688,19852242,9,45,12640,1.160021,9.444622,2.197225,The Americas
St. Kitts and Nevis,7/1/2010,52402,80000,8,76,12847,1.526659,9.460866,2.079442,The Americas
Antigua and Barbuda,7/1/2010,88710,167970,8,80,13006,1.893473,9.473166,2.079442,The Americas
"Venezuela, RB",7/1/2010,28834000,27879924,18,36,13658,0.966911,9.522081,2.890372,The Americas
Barbados,7/1/2010,273331,350061,20,70,15035,1.280722,9.618136,2.995732,The Americas
Trinidad and Tobago,7/1/2010,1341465,1894240,27,49,15614,1.412068,9.655923,3.295837,The Americas
