Region	Subregion	Country
The Americas	Caribbean	Guadeloupe
Oceania		Guam
The Americas	Central America	Guatemala
Europe	Independent	Guerney and Alderney
Africa	Western Africa	Guinea
Africa	Western Africa	Guinea-Bissau
The Americas	South America	Guyana
The Americas	Caribbean	Haiti
The Americas	Central America	Honduras
Asia		"Hong Kong SAR, China"
Europe	European Union	Hungary
Europe	Independent	Iceland
Asia		India
Asia		Indonesia
Middle East		"Iran, Islamic Rep."
Middle East		Iraq
Europe	European Union	Ireland
Middle East		Israel
Europe	European Union	Italy
The Americas	Caribbean	Jamaica
Asia		Japan
Europe	Independent	Jersey
Middle East		Jordan
Asia		Kazakhstan
Africa	Eastern Africa	Kenya
Oceania		Kiribati
Asia		"Korea, Dem. Rep."
Asia		"Korea, Rep."
Europe	Independent	Kosovo
Middle East		Kuwait
Asia		Kyrgyz Republic
Asia		Lao PDR
Europe	European Union	Latvia
Middle East		Lebanon
Africa	Southern Africa	Lesotho
Africa	Western Africa	Liberia
Africa	Northern Africa	Libya
Europe	Independent	Liechtenstein
Europe	European Union	Lithuania
Europe	European Union	Luxembourg
Asia		"Macao SAR, China"
Europe	Independent	"Macedonia, FYR"
Africa	Eastern Africa	Madagascar
Africa	Eastern Africa	Malawi
Asia		Malaysia
Asia		Maldives
Africa	Western Africa	Mali
Europe	European Union	Malta
Europe	Independent	Isle of Man
Oceania		Marshall Islands
The Americas	Caribbean	Martinique
Africa	Western Africa	Mauritania
Africa	Eastern Africa	Mauritius
Africa	Eastern Africa	Mayotte
The Americas	Central America	Mexico
Oceania		"Micronesia, Fed. Sts."
Europe	Independent	Moldova
Europe	Independent	Monaco
Asia		Mongolia
The Americas	Caribbean	Monserrat
Europe	Independent	Montenegro
Africa	Northern Africa	Morocco
Africa	Eastern Africa	Mozambique
Asia		Myanmar
Africa	Southern Africa	Namibia
Asia		Nepal
Europe	European Union	Netherlands
Oceania		New Caledonia
Oceania		New Zealand
The Americas	Central America	Nicaragua
Africa	Western Africa	Niger
Africa	Western Africa	Nigeria
Africa	Northern Africa	Northern Africa
Europe	Independent	Norway
Middle East		Oman
Asia		Pakistan
Middle East		Palestine
The Americas	Central America	Panama
Oceania		Papua New Guinea
The Americas	South America	Paraguay
The Americas	South America	Peru
Asia		Philippines
Europe	European Union	Poland
Europe	European Union	Portugal
The Americas	Caribbean	Puerto Rico
Middle East		Qatar
Africa	Eastern Africa	Reunion
Europe	European Union	Romania
Europe	Independent	Russian Federation
Africa	Eastern Africa	Rwanda
Africa	Western Africa	Saint Helena
The Americas	Caribbean	St. Lucia
The Americas	Caribbean	St. Martin (French part)
The Americas	North America	Saint Pierre and Miquelon
The Americas	Caribbean	St. Vincent and the Grenadines
The Americas	Caribbean	Saint-Barthélemy
Oceania		Samoa
Oceania		American Samoa
Europe	Independent	San Marino
Africa	Middle Africa	Sao Tome and Principe
Middle East		Saudi Arabia
Africa	Western Africa	Senegal
Europe	Independent	Serbia
Africa	Eastern Africa	Seychelles
Africa	Western Africa	Sierra Leone
Asia		Singapore
The Americas	Caribbean	Sint Maarten (Dutch part)
Europe	European Union	Slovak Republic
Europe	European Union	Slovenia
Oceania		Solomon Islands
Africa	Eastern Africa	Somalia
Africa	Southern Africa	South Africa
Africa	Northern Africa	South Sudan
Africa	Southern Africa	Southern Africa
Europe	European Union	Spain
Asia		Sri Lanka
The Americas	Caribbean	St. Kitts and Nevis
Africa	Northern Africa	Sudan
The Americas	South America	Suriname
Europe	Independent	Svalbard and Jan Mayen Islands
Africa	Southern Africa	Swaziland
Europe	European Union	Sweden
Europe	Independent	Switzerland
Middle East		Syrian Arab Republic
Asia		Taiwan
Asia		Tajikistan
Africa	Eastern Africa	Tanzania
Asia		Thailand
Asia		Timor-Leste
Africa	Western Africa	Togo
Oceania		Tonga
The Americas	Caribbean	Trinidad and Tobago
Africa	Northern Africa	Tunisia
Europe	Independent	Turkey
Asia		Turkmenistan
The Americas	Caribbean	Turks and Caicos Islands
Africa	Eastern Africa	Uganda
Europe	Independent	Ukraine
Middle East		United Arab Emirates
Europe	European Union	United Kingdom
The Americas	North America	United States
The Americas	South America	Uruguay
Asia		Uzbekistan
Oceania		Vanuatu
Europe	Independent	Vatican City State (Holy See)
The Americas	South America	"Venezuela, RB"
Asia		Vietnam
The Americas	Caribbean	Virgin Islands (U.S.)
Africa	Western Africa	Western Africa
Africa	Northern Africa	Western Sahara
Middle East		"Yemen, Rep."
Africa	Eastern Africa	Zambia
Africa	Eastern Africa	Zimbabwe
